Authors;Title;Year;Journal;Volume;Issue;Cited by;DOI;Link;Affiliations;Language of Original Document;Document Type;Publication Stage;Open Access;Source
"Yang W.; Liu S.; Wang Z.; Liu H.; Pan C.; Liu C.; Shen C.";Bioinspired composite fiber aerogel pressure sensor for machine-learning-assisted human activity and gesture recognition;2024;Nano Energy;127;;6;10.1016/j.nanoen.2024.109799;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194419166&doi=10.1016%2fj.nanoen.2024.109799&partnerID=40&md5=6081177b4eb2ee151e729b38214c2644;"State Key Laboratory of Structural Analysis, Optimization and CAE Software for Industrial Equipment, Zhengzhou University, Henan, Zhengzhou, 450002, China; National Engineering Research Center for Advanced Polymer Processing Technology, Zhengzhou University, Henan, Zhengzhou, 450002, China; Institute of Atomic Manufacturing, Beihang University, Beijing, 100191, China";English;Article;Final;;Scopus
"Barba M.D.O.; Lavy B.L.; Bennett V.J.";Improving urban flyways for bats: the importance of tree canopy structure;2024;Wildlife Biology;2024;5;0;10.1002/wlb3.01284;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202847924&doi=10.1002%2fwlb3.01284&partnerID=40&md5=5a6fdc40c74f58384ef106029f14d027;Department of Environmental and Sustainability Sciences, Texas Christian University, Fort Worth, TX, United States;English;Article;Final;"All Open Access; Gold Open Access";Scopus
"Sunga J.; Humber J.; Broders H.G.";Co-roosting relationships are consistent across years in a bat maternity group;2024;Scientific Reports;14;1;0;10.1038/s41598-023-50191-4;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182497433&doi=10.1038%2fs41598-023-50191-4&partnerID=40&md5=ec85fc00328e6d20f7b80450045676c5;"Department of Fisheries, Forestry and Agriculture, Government of Newfoundland and Labrador, 192 Wheeler’s Road, PO Box 2007, Corner Brook, A2H 7S1, NL, Canada; Department of Biology, Saint Mary’s University, Halifax, B3H 3C3, NS, Canada; Department of Biology, University of Waterloo, 200 University Ave W, Waterloo, N2L 3G1, ON, Canada";English;Article;Final;"All Open Access; Gold Open Access";Scopus
"Farbo A.; Sarvia F.; De Petris S.; Basile V.; Borgogno-Mondino E.";Forecasting corn NDVI through AI-based approaches using sentinel 2 image time series;2024;ISPRS Journal of Photogrammetry and Remote Sensing;211;;2;10.1016/j.isprsjprs.2024.04.011;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190344574&doi=10.1016%2fj.isprsjprs.2024.04.011&partnerID=40&md5=061817353f7d2fa2bffeb842ba1f3453;"Department of Agriculture, Forestry and Food Sciences, University of Torino, Grugliasco (TO), 10095, Italy; Computer Science Department, University of Turin, Via Verdi 8, Turin, 10124, Italy";English;Article;Final;"All Open Access; Hybrid Gold Open Access";Scopus
"Savigamin C.; Khositharattanakool P.; Somwang P.; Wacharapluesadee S.; Siriyasatien P.; Preativatanyou K.";Identification of common human infectious and potentially zoonotic novel genotypes of Enterocytozoon bieneusi in cavernicolous bats in Thailand;2024;Parasitology Research;123;6;0;10.1007/s00436-024-08253-7;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195533859&doi=10.1007%2fs00436-024-08253-7&partnerID=40&md5=f777ddbef6dc73fee39e014e95e18914;"Medical Science Program, Faculty of Medicine, Chulalongkorn University, Bangkok, 10330, Thailand; School of Medicine, Mae Fah Luang University, Chiang Rai, 57100, Thailand; Biomedical Technology Research Group for Vulnerable Populations, Mae Fah Luang University, Chiang Rai, 57100, Thailand; Thai Red Cross Emerging Infectious Diseases Clinical Center, King Chulalongkorn Memorial Hospital, Bangkok, 10330, Thailand; Center of Excellence in Vector Biology and Vector-Borne Disease, Chulalongkorn University, Bangkok, 10330, Thailand; Department of Parasitology, Faculty of Medicine, Chulalongkorn University, Bangkok, 10330, Thailand";English;Article;Final;;Scopus
"Hoekx C.A.; Martinez-Tellez B.; Straat M.E.; Verkleij M.M.A.; Kemmeren M.; Kooijman S.; Uhrbom M.; de Jager S.C.A.; Rensen P.C.N.; Boon M.R.";Cold exposure increases circulating fibroblast growth factor 21 in the eveninin males and females;2024;Endocrine Connections;13;7;0;10.1530/EC-24-0074;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199322698&doi=10.1530%2fEC-24-0074&partnerID=40&md5=37c423e0d0bfe76d5ef17e223d77e9a1;"Division of Endocrinology, Department of Medicine, Leiden University Medical Center, Leiden, Netherlands; Einthoven Laboratory for Experimental Vascular Medicine, Leiden University Medical Center, Leiden, Netherlands; Department of Nursing Physiotherapy and Medicine, SPORT Research Group (CTS-1024), CERNEP Research Center, University of Almería, Almería, Spain; Biomedical Research Unit, Torrecárdenas University Hospital, Almería, Spain; CIBER de Fisiopatología de la Obesidad y Nutrición (CIBEROBN), Instituto de Salud Carlos III, Granada, Spain; Bioscience Metabolism, Research and Early Development, Cardiovascular, Renal and Metabolism (CVRM), BioPharmaceuticals R&D, AstraZeneca Gothenburg, Sweden; Department of Medicine, Huddinge, Karolinska Institutet Campus Flemingsberg, Neo Building, Huddinge, Sweden; Laboratory of Experimental Cardiology, University Medical Center Utrecht, Utrecht, Netherlands";English;Article;Final;"All Open Access; Gold Open Access";Scopus
"Zhou Z.; Xu Z.; Zhang P.";Harmonic Detection Methods and Optimization Strategies for Charger in Power Grid;2024;International Journal of Pattern Recognition and Artificial Intelligence;38;7;0;10.1142/S0218001424520141;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196664478&doi=10.1142%2fS0218001424520141&partnerID=40&md5=46b211763f519bae1c8576203730137d;"Information College of Shenyang Institute of Engineering, Shenyang, China; Shenyang Key Laboratory of Energy Internet Intelligent, Perception and Security Technology, Shenyang, China; Dandong Power Supply Company of State Grid Liaoning, Electric Power Co. Ltd, Dandong, China";English;Article;Final;;Scopus
Yeh W.-C.;Time-reliability optimization for the stochastic traveling salesman problem;2024;Reliability Engineering and System Safety;248;;0;10.1016/j.ress.2024.110179;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192168559&doi=10.1016%2fj.ress.2024.110179&partnerID=40&md5=0d2e55f92447fbf73d96925531e29f8d;Integration and Collaboration Laboratory, Department of Industrial Engineering and Engineering Management, National Tsing Hua University, Taiwan;English;Article;Final;;Scopus
"Wang J.; Wang L.; Zhu K.; Dai P.";Lyapunov-Based Joint Flight Trajectory and Computation Offloading Optimization for UAV-Assisted Vehicular Networks;2024;IEEE Internet of Things Journal;11;12;0;10.1109/JIOT.2024.3382242;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189137532&doi=10.1109%2fJIOT.2024.3382242&partnerID=40&md5=6dfe4ab169e76c9ddfea898ae8782d37;"Zhejiang University, College Of Electrical Engineering, Hangzhou, 310027, China; Nanjing University, State Key Laboratory For Novel Software Technology, Nanjing, 210093, China; Nanjing University Of Aeronautics And Astronautics, College Of Computer Science And Technology, Nanjing, 211106, China; Southwest Jiaotong University, School Of Computing And Artificial Intelligence, Chengdu, 611756, China";English;Article;Final;;Scopus
"Acharya S.; Shrestha M.; Thang N.D.; Wini L.; Habib M.N.; Neukom J.; Lhazeen K.; Lynch C.A.; Thriemer K.";Optimizing test and treat options for vivax malaria: An options assessment toolkit (OAT) for Asia Pacific national malaria control programs;2024;PLOS Global Public Health;4;5;0;10.1371/journal.pgph.0002970;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195481629&doi=10.1371%2fjournal.pgph.0002970&partnerID=40&md5=5cffed72944a0db7d34fe98db23d4bcc;"Global Health Division, Menzies School of Health Research, Charles Darwin University, Darwin, Australia; Asia Pacific Malaria Elimination Network (APMEN) Vivax Working Group, Singapore, Singapore; MMV Medicines for Malaria Venture (MMV), Geneva, Switzerland; National Institute of Malariology, Parasitology and Entomology (NIMPE), Ministry of Health, Hanoi, Viet Nam; National Vector Borne Disease Control Programme, Ministry of Health and Medical Services, Honiara, Solomon Islands; National Malaria Control Program, Ministry of Public Health, Kabul, Afghanistan; APLMA Consultant, Ho Chi Minh City, Viet Nam";English;Article;Final;"All Open Access; Gold Open Access";Scopus
