Number,Reference,DOI,Year,Country_or_Region,Global South,Family,Networks,Links_EE,Links_SS,Links_SE,Links_detail,Nodes_EE,Nodes_SS,Mode,Weight
46,Kano et al 2024,10.20965/jrm.2024.p0546,2024,In silico,No,Phyllostomidae,Not SEN,Social interactions,NA,NA,"Social, behavior ",Individuals of Desmodus rotundus,NA,One-mode,Weighted
47,Ferreira et al 2020,10.3161/15081109ACC2024.26.1.002,2024,Brazil,Yes,Phyllostomidae,Not SEN,Mutualistic interactions,NA,NA,Seed dispersal,Bats and plants,NA,Two-mode,Weighted
48,Ospina-Perez et al 2023,10.3897/zookeys.1179.103479,2023,Colombia and Venezuela,Yes,Multifamily,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,Bats and bat flies,NA,Two-mode,Weighted
49,Bezerra and Bocchiglieri 2022,10.1017/S0031182022001718,2022,Brazil,Yes,Phyllostomidae and Vespertilionidae,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,Bats and bat flies,NA,Two-mode,Weighted
50,Ramirez-Martinez and Tlapaya-Romero 2023,10.1016/j.ijppaw.2023.05.001,2023,Mexico,Yes,Mormoopidae and Phyllostomidae and Vespertilionidae,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,Bats and bat flies,NA,Two-mode,Weighted
51,Garcia-Herrera et al 2023,10.1093/jmammal/gyac112,2023,Colombia,Yes,Phyllostomidae,Not SEN,Mutualistic interactions,NA,NA,Frugivory,Bats and plants,NA,Two-mode,Weighted
52,Forli and Yartsev 2023,10.1038/s41586-023-06478-7,2023,USA,No,Pteropodidae,Not SEN,Social interactions,NA,NA,"Social, behavior ",Individuals of Rousettus aegyptiacus,NA,One-mode,Weighted
53,Mlynarova et al 2023,10.3390/d15040573,2023,Europe,No,Rhinolophidae and Miniopteridae and Molossidae and Vespertilionidae,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,Bats and bat flies,NA,Two-mode,Weighted
54,Estrada‑Pena et al 2023,10.1186/s13071-022-05641-9,2023,Global,Yes,Multifamily,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,Bats and Ixodes spp,NA,Two-mode,Weighted
55,Roa et al 2023,10.21068/2539200X.1078,2023,Colombia,Yes,Phyllostomidae,Not SEN,Mutualistic interactions,NA,NA,Seed dispersal,Bats and plants,NA,Two-mode,Binary
56,Diniz and Aguiar ,10.1038/s41598-023-29965-3,2023,Brazil,Yes,Molossidae and Mormoopidae and Phyllostomidae and Vespertilionidae,Not SEN,Mutualistic interactions,NA,NA,Pollination,Bats and plants,NA,Two-mode,Weighted
57,Poon eta al 2023,10.1186/s13071-023-05663-x,2023,China,Yes,Multifamily,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,Bats and bat flies,NA,Two-mode,Weighted
58,Sunga et al 2022,10.1016/j.anbehav.2022.09.008,2022,Canada,No,Vespertilionidae,Not SEN,Use of space,NA,NA,"Social, shared roosts",individuals of Myotis lucifugus,NA,One-mode,Weighted
59,Mello et al 2021,10.1016/j.actao.2021.103769,2021,Brazil,Yes,Phyllostomidae,Not SEN,Mutualistic interactions,NA,NA,Seed dispersal,Bats and plants,NA,Two-mode,Weighted
59,Mello et al 2021,10.1016/j.actao.2021.103769,2021,Brazil,Yes,Phyllostomidae,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,Bats and bat flies,NA,Two-mode,Weighted
60,Hinojosa et al 2021,10.1007/s42991-021-00144-z,2021,Ecuador,Yes,Phyllostomidae,Not SEN,Mutualistic interactions,NA,NA,Seed dispersal,Bats and plants,NA,Two-mode,Both
61,Mavrodiev et al 2021,10.1038/s41598-020-80946-2,2021,Germany,No,Vespertilionidae,Not SEN,Social interactions,NA,NA,"Social, behavior ",Adult female of Myotis bechsteinii,NA,One-mode,Weighted
62,Corro et al 2021,10.1098/rsbl.2021.0478,2021,Neotropical,Yes,Multifamily,Not SEN,Mutualistic interactions,NA,NA,Frugivory,Bats and plants,NA,Two-mode,Binary
63,Finch et al 2022,10.1016/j.anbehav.2022.03.019,2022,England,No,Rhinolophidae,Not SEN,Social interactions,NA,NA,"Social, behavior ",Individuals of R. ferrumequinum,NA,One-mode,Weighted
64,Bachorec et al 2020,10.1111/jzo.12816,2020,Egypt,Yes,Pteropodidae,Not SEN,Use of space,NA,NA,"Social, shared roosts",Bats and roost,NA,Both,Weighted
65,Groot et al 2020,10.3390/jof6040361,2020,Neotropics and Europe,Yes,Multifamily,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,Bats and bat flies and fungi,NA,Tripartite,Weighted
66,Hemprich-Bennett et al 2021,10.1111/mec.16153,2021,Malaysia,Yes,Multifamily,Not SEN,Diet,NA,NA,Predation,Bats and insects,NA,Two-mode,Weighted
67,Alcantara et al 2022 ,10.1016/j.ijpara.2021.10.010,2022,Brazil,Yes,Noctilionidae,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,Bats and bat flies,NA,Two-mode,Weighted
68,Ingala et al 2021,10.1002/ece3.7579,2021,Belize,Yes,Multifamily,Not SEN,Trofic interactions,NA,NA,Predation,Bats and preys,NA,Two-mode,Weighted
69,Cordero-Schmidt et al 2021,10.1111/btp.13007,2021,Brazil,Yes,Phyllostomidae,Not SEN,Mutualistic interactions,NA,NA,Pollination,Bats and plants,NA,Two-mode,Both
70,Kading and Kingston 2020,10.1371/journal.pbio.3000947,2020,Global,Yes,Multifamily,SEN,Collaboration between authors,NA,NA,coauthorship,NA,authors,One-mode,Binary
71,Edwards et al 2022,10.1016/j.yhbeh.2022.105228,2022,United Kingdom,No,Pteropodidae,Not SEN,Social interactions,NA,NA,"Social, behavior",Males and females of Pteropus livingstonii,NA,One-mode,Weighted
72,Ferrer–Sanchez and Avila 2022,10.32800/abc.2022.45.0245,2022,Cuba,Yes,Multifamily,Not SEN,Social interactions,NA,NA,"Social, behavior",Individuals of cave bats,NA,One-mode,Weighted
73,Waag et al 2021,10.1002/ece3.7244,2021,USA,No,Vespertilionidae,Not SEN,Social interactions and use of space,NA,NA,"Social, shared roosts",Individuals of Myotis lucifugus,NA,One-mode,Weighted
74,Sunga et al 2021,10.1371/journal.pone.0252471,2021,Canada,No,Vespertilionidae,Not SEN,Social interactions,NA,NA,"Social, shared roosts",Individuals of Myotis lucifugus,NA,One-mode,Weighted
75,Welch et al 2020,10.3390/ani10081321,2020,United Kingdom,No,Pteropodidae,Not SEN,Social interactions,NA,NA,"Social, behavior",Individuals of Pteropus livingstonii,NA,One-mode,Weighted
76,Facao et al 2022,10.3161/15081109ACC2022.24.1.019,2022,Brazil,Yes,Phyllostomidae and Vespertilionidae,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,Bats and bat flies,NA,Two-mode,Weighted
77,Pellon et al 2021,10.1093/jmammal/gyaa141,2021,Peru,Yes,Phyllostomidae,Not SEN,Mutualistic interactions,NA,NA,Frugivory,Bats and plants,NA,Two-mode,Weighted
78,Ramalho et al 2021,10.3389/fenvs.2021.752412,2021,Brazil,Yes,Phyllostomidae and Vespertilionidae and Molossidae and Mormoopidae,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,Bats and bat flies,NA,Two-mode,Weighted
79,Albery et al 2020,10.1038/s41467-020-16153-4,2020,Global,Yes,Multifamily,Not SEN,Interactions between virus hosts,NA,NA,Viral sharing,Virus and mammals including bats,NA,Both,Binary
80,Kerches-Rogeri 2020,10.1111/1365-2656.13339,2020,Brazil,Yes,Phyllostomidae,Not SEN,Use of landscape resources,NA,NA,Frequency of use of landscape resource by each bat and overlap in the use of landscape resources for each pair of individuals,Bats and landscape resources and individuals of Sturnira lilium,NA,Both,Weighted
81,Regolin et al 2020,10.1071/WR19138,2020,Neotropical,Yes,Multifamily,Not SEN,Mutualistic interactions,NA,NA,Seed dispersal,Bats and plants,NA,Two-mode,Binary
82,Oliveira et al 2022,10.1111/mec.16363,2022,Costa Rica,Yes,Phyllostomidae,Not SEN,Mutualistic interactions,NA,NA,Frugivory,Bats and plants,NA,Two-mode,Weighted
83,Zeus et al 2020,10.1007/s00265-020-02932-y,2020,Germany,No,Vespertilionidae,Not SEN,Social interactions,NA,NA,"Social, behavior",Individuals of Myotis nattereri,NA,One-mode,Weighted
84,Carlson et al 2020,10.1038/s41586-022-04788-w,2020,Global,Yes,Multifamily,Not SEN,Interactions between virus hosts,NA,NA,Viral sharing,Mammals including bats,NA,One-mode,Both
85,Mata et al 2021,10.1002/eap.2457,2021,Portugal,No,Vespertilionidae and Rhinolophidae and Molossidae and Miniopteridae,Not SEN,Diet,NA,NA,Predation,Bats and insects,NA,Two-mode,Weighted
86,Dattilo et al 2020,10.1111/1365-2656.13216,2020,Mexico,Yes,Multifamily,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite presence,Ectoparasites and mammals including bats,NA,Two-mode,Binary
87,Stockmaier et al 2020,10.1111/1365-2656.13193,2020,Panama,Yes,Phyllostomidae,Not SEN,Social interactions,NA,NA,"Social, behavior",Individuals of Desmodus rotundus,NA,One-mode,Weighted
88,Duran et al 2018,10.3161/15081109ACC2018.20.2.020,2018,Colombia,Yes,Phyllostomidae and Noctilionidae,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,Bats and bat flies,NA,Two-mode,Weighted
89,Becker et al 2020,10.1111/mec.15422,2020,Belize,Yes,Multifamily,Not SEN,Evolutionary history to structuring infection patterns and pathogen sharing,NA,NA,Shared genotypes,Bat species,NA,One-mode,Weighted
90,Wells et al 2019,10.1111/geb.13045,2019,Global,Yes,Multifamily,Not SEN,Interactions between virus hosts,NA,NA,Viral sharing,Mammals including bats,NA,One-mode,Weighted
91,Mello et al 2019,10.1038/s41559-019-1002-3,2019,Global,Yes,Multifamily,Not SEN,Mutualistic interactions,NA,NA,Frugivory and Nectarivory,Bats and plants,NA,Two-mode and Multilayer,Binary
92,Saldana-Vazquez et al 2019,10.1007/s00436-019-06452-1,2019,Neotropical,Yes,Multifamily,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,Bats and bat flies,NA,Two-mode,Weighted
